Full name,Nature of activity,Activity of a close family member,Organisation,Subject matter,Start date,End date,DOI date,PDF
"SCHWERDTLE, Tanja",X. Interests of close family members,,,NO INTEREST,,,2015-07-09,CONTAM_doi_017.pdf
"VLEMINCKX, Christiane",X. Interests of close family members,,,NO INTEREST,,,2015-10-19,CONTAM_doi_018.pdf
"VOLLMER, Guenter",X. Interests of close family members,,,NO INTEREST,,,2015-04-17,CONTAM_doi_019.pdf
"WALLACE, Heather",X. Interests of close family members,,,NO INTEREST,,,2015-07-15,CONTAM_doi_020.pdf
"AQUILINA, Gabriele",X. Interests of close family members,,,NO INTEREST,,,2015-10-21,FEEDAP_doi_000.pdf
"BAMPIDIS, Vasileios",X. Interests of close family members,,,NO INTEREST,,,2015-09-12,FEEDAP_doi_001.pdf
"BASTOS, Maria de Lourdes",X. Interests of close family members,,,NO INTEREST,,,2015-10-07,FEEDAP_doi_002.pdf
"BORIES, Georges",X. Interests of close family members,,,NO INTEREST,,,2015-09-15,FEEDAP_doi_003.pdf
"CHESSON, Andrew",X. Interests of close family members,,,NO INTEREST,,,2015-09-12,FEEDAP_doi_004.pdf
"COCCONCELLI, Pier Sandro",X. Interests of close family members,,,NO INTEREST,,,2015-09-28,FEEDAP_doi_005.pdf
"DOS RAMOS, Fernando Jorge",X. Interests of close family members,,,NO INTEREST,,,2015-09-22,FEEDAP_doi_006.pdf
"FLACHOWSKY, Gerhard",X. Interests of close family members,,,NO INTEREST,,,2015-09-13,FEEDAP_doi_007.pdf
"GROPP, Jürgen",X. Interests of close family members,,,NO INTEREST,,,2015-09-16,FEEDAP_doi_008.pdf
"KOLAR, Boris",X. Interests of close family members,,,NO INTEREST,,,2015-09-10,FEEDAP_doi_009.pdf
"KOUBA, Maryline",X. Interests of close family members,,,NO INTEREST,,,2015-09-10,FEEDAP_doi_010.pdf
"LOPEZ ALONSO, Marta",X. Interests of close family members,,,NO INTEREST,,,2015-09-11,FEEDAP_doi_011.pdf
"LOPEZ PUENTE, Secundino",X. Interests of close family members,,,NO INTEREST,,,2015-09-11,FEEDAP_doi_012.pdf
"MAYO, Baltasar",X. Interests of close family members,,,NO INTEREST,,,2015-09-17,FEEDAP_doi_014.pdf
"RYCHEN, Guido",X. Interests of close family members,,,NO INTEREST,,,2015-09-10,FEEDAP_doi_015.pdf
"SAARELA, Maria",X. Interests of close family members,,,NO INTEREST,,,2015-09-10,FEEDAP_doi_016.pdf
"VILLA, Roberto",X. Interests of close family members,,,NO INTEREST,,,2015-09-12,FEEDAP_doi_017.pdf
